"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3Dy4REq8O09IlgiwuHQ3sk","Waterloo","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:5gSBDA6ufk8UZejT4XR7av","Waterloo","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1974","https://i.scdn.co/image/ab67616d0000b27311c24dc7f5ef909381c0a7d6","1","1","168960","https://p.scdn.co/mp3-preview/4d657db684048dc054d23dad351b17b0205d2014?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:","2021-07-15T08:00:00Z"
"spotify:track:3gdewACMIVMEWVbyb8O9sY","Rocket Man (I Think It's Going To Be A Long, Long Time)","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:2ei2X6ghPnw7YRwQtAH075","Honky Chateau","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1972-05-19","https://i.scdn.co/image/ab67616d0000b2733009007708ab5134936a58b3","1","5","281613","https://p.scdn.co/mp3-preview/e0f814581fb0c9f5faeb02146aa4c1280510b4f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","spotify:user:","2021-07-15T08:00:00Z"
"spotify:track:0wtHjEAzLYYyGuk2WtpGwS","Easy","spotify:artist:6twIAGnYuIT1pncMAsXnEm","Commodores","spotify:album:7wexfT6sZsdsrKuMaoH7Mn","The Very Best Of The Commodores","spotify:artist:6twIAGnYuIT1pncMAsXnEm","Commodores","1995-01-01","https://i.scdn.co/image/ab67616d0000b27347023ab4f64d0b78f51cedeb","1","1","260893","https://p.scdn.co/mp3-preview/28e6a2deb41a57f790403a8b52563a8d194d1627?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2021-07-15T08:00:00Z"
"spotify:track:4Vn7TykT27PIygBiZjTR2s","Hotel California - 2013 Remaster","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","spotify:album:5J0VCIp4TTsZBKOqWdbBSa","The Very Best of the Eagles (2013 Remaster)","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","2003-10-21","https://i.scdn.co/image/ab67616d0000b273061849da201f99053bf5e788","1","17","391376","https://p.scdn.co/mp3-preview/50e82c99c20ffa4223e82250605bbd8500cb3928?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2021-07-15T08:00:00Z"
"spotify:track:0oCT5rVvMdPPUm0bxG7yzT","I Can See Clearly Now","spotify:artist:0nAVvgfE9yI4DwvMiYwk8a","Johnny Nash","spotify:album:2JcwQwy2KY3CEIzHUC30wG","Radio Hits Of the '70s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1972","https://i.scdn.co/image/ab67616d0000b2736eb82115589a346dcfea9956","1","2","162653","https://p.scdn.co/mp3-preview/cb2ac8119e19b9552d54e0fb7f615bd834bc07ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:","2021-07-15T08:00:00Z"
"spotify:track:2JoZzpdeP2G6Csfdq5aLXP","How Deep Is Your Love","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","spotify:album:5YHZaCxCuuK81h4Fimb9rT","Greatest","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","1979-01-01","https://i.scdn.co/image/ab67616d0000b27352038992fc6d7868f31d23b7","1","6","245200","https://p.scdn.co/mp3-preview/4d48b1d0d39b2710df6893c6a994013e9f8eee37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:","2021-07-15T08:00:00Z"
"spotify:track:18piene9mIdOJA2dura9LH","Ain't No Stoppin' Us Now - Single Version","spotify:artist:3iQM78Xg0wJnGZhgVNLPmY","McFadden & Whitehead","spotify:album:4JEghNfeXfS21MXpZWiRlc","Bridget Jones’s Baby (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-09-16","https://i.scdn.co/image/ab67616d0000b27397f2df9c797c6d478ab89fd4","1","17","217320","","false","26","spotify:user:","2021-07-15T08:00:00Z"
"spotify:track:1k1Bqnv2R0uJXQN4u6LKYt","Ain't No Sunshine","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1971-05-01","https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","1","2","125093","https://p.scdn.co/mp3-preview/2f56920743ab7da6d3d6331868dd23bbe72cd063?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:","2021-07-15T08:00:00Z"
"spotify:track:6zC0mpGYwbNTpk9SKwh08f","Wonderful Tonight","spotify:artist:6PAt558ZEZl0DmdXlnjMgD","Eric Clapton","spotify:album:5MAL7e4EnKXW1hFg6NbFqP","Slowhand 35th Anniversary (Super Deluxe)","spotify:artist:6PAt558ZEZl0DmdXlnjMgD","Eric Clapton","1977-11-01","https://i.scdn.co/image/ab67616d0000b2736f093a6ae88a5ca8ed53b9f7","1","2","225026","https://p.scdn.co/mp3-preview/7a0d45813b549c62fde81865e6bbb9eb9535efe8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","2021-07-15T08:00:00Z"
"spotify:track:0GjEhVFGZW8afUYGChu3Rr","Dancing Queen","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1V6a99EbTTIegOhWoPxYI9","Arrival","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1976","https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0","1","2","230400","https://p.scdn.co/mp3-preview/538979bb920f417d2fda44a2b5bd82422e56d633?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:","2021-07-15T08:00:00Z"
