,Word,Count
2309,yeah,271
550,dont,159
1060,know,144
36,aint,102
1304,need,93
1748,s***,93
1167,love,88
2214,wanna,79
2215,want,75
103,baby,73
296,cause,70
2033,thats,67
1319,n*****,57
2065,time,55
2275,woman,54
159,b****,52
1727,sexy,51
2253,whoa,49
776,f***,46
374,come,45
1318,n****,39
2008,tell,39
772,friends,39
1320,night,38
792,gang,38
811,girls,36
1151,look,35
809,girl,34
2045,think,34
694,feel,33
1623,right,33
1665,said,31
1091,leave,29
834,gotta,27
1239,mind,27
1902,stay,27
658,eyes,27
829,good,26
138,beggin,26
150,better,25
2077,told,25
2281,wont,24
100,away,23
1110,life,22
1619,ride,22
2285,work,21
930,hold,21
2131,tryna,21
939,home,20
2324,young,20
373,cold,20
2084,took,20
1148,long,19
1113,light,19
857,guess,19
1363,oohooh,18
874,hand,18
461,dance,18
1322,nights,18
1075,late,17
2083,tonight,17
908,heat,17
1352,ohohoh,16
1171,loving,16
2044,things,16
2157,universe,16
2287,world,16
1334,nothin,16
869,habits,15
906,heart,15
1115,lights,15
1087,lead,14
2066,times,14
1094,left,14
1567,real,14
101,babe,14
659,face,14
1742,shes,14
235,brothers,14
2269,wish,14
2227,water,14
1846,soon,14
516,didnt,13
1292,murderers,13
1210,mean,13
1853,sound,13
1157,lose,13
2228,waves,13
578,drive,13
2307,yall,13
2209,wake,13
161,b******,13
1104,levitating,12
1373,outside,12
2052,thought,12
1152,lookin,12
1208,maybe,12
1354,ohohwhoa,12
902,hear,12
2241,went,12
929,hoes,11
1649,round,11
423,couple,11
2146,type,11
471,darling,11
1414,peace,11
1928,street,11
226,bring,11
203,bout,11
1133,live,11
1460,play,11
778,f*****,11
1507,probably,11
1263,money,11
2043,thing,11
989,inside,10
378,coming,10
1231,middle,10
1991,talk,10
1057,knew,10
1163,lost,10
2058,throw,10
696,feeling,10
366,close,10
605,easy,10
1997,taste,10
779,f******,10
1351,ohoh,10
1268,moonlight,10
2205,wait,10
1531,p****,10
520,different,10
1356,okay,10
923,high,10
2125,true,10
884,happier,10
1267,moon,10
674,fall,9
1849,sorry,9
2299,write,9
903,heard,9
673,faking,9
1051,kiss,9
433,crib,9
1316,nice,9
777,f*****,9
681,fancy,9
1960,sure,9
2124,truck,9
898,head,9
1421,pepa,9
295,caught,8
2038,theres,8
1844,song,8
31,ahahahahahahahah,8
1842,somethin,8
1970,sweater,8
668,fair,8
2235,w***,8
661,fact,8
886,hard,8
188,body,8
1402,party,8
466,dark,8
1130,listen,8
30,ahahahahahah,8
327,chick,8
1628,road,8
1028,june,8
2310,yeahyeah,8
710,fight,8
2128,truth,8
1420,people,8
1899,started,8
1882,spot,8
1183,makin,8
803,gettin,8
262,california,8
964,hurt,8
1896,starlight,8
2322,youd,8
643,everybody,8
1450,place,8
401,control,8
1424,perfect,8
1415,peaches,7
1898,start,7
309,change,7
1957,sunlight,7
1406,past,7
1446,pipe,7
234,brother,7
240,buck,7
1815,slide,7
1856,source,7
2302,wrong,7
1099,lets,7
879,hang,7
878,hands,7
1063,known,7
1064,knows,7
1437,piece,7
1917,stop,7
1892,standin,7
1026,jump,7
933,holes,7
1717,senseless,7
346,church,7
456,daddy,7
802,georgia,7
1778,sight,7
981,industry,7
797,gave,7
2220,wasnt,7
341,chopper,7
432,cream,7
1591,remember,7
1329,north,7
107,badass,7
2245,whats,7
824,going,7
2092,touch,7
2101,trade,7
488,deep,7
133,beat,7
593,ducking,7
828,gonna,7
1290,mundo,7
2081,tongue,7
1993,talkin,7
1594,rent,7
418,count,6
1211,meet,6
429,cracks,6
515,d***,6
1700,seca,6
1353,ohohohwhoa,6
1710,seen,6
473,date,6
1773,sick,6
1132,little,6
1120,line,6
533,discoteca,6
478,days,6
1791,sins,6
257,butt,6
1809,sleep,6
553,doodoo,6
1747,shirt,6
1816,slow,6
1355,ohwhoawhoa,6
1403,partys,6
1156,lord,6
460,d***,6
1838,soldiers,6
1753,shivers,6
1407,pastilla,6
2242,werent,6
2127,trust,6
1008,jeans,6
719,fine,6
2135,turn,6
752,fool,6
826,gone,6
723,finished,6
2252,white,6
1929,streets,6
2207,waitin,6
118,ball,6
2258,wide,6
756,forever,6
1001,jack,6
945,honestly,6
1986,syrup,6
770,fridge,6
784,funny,6
2311,yeahyeahyeahyeah,6
164,blame,6
26,agua,6
1673,save,5
891,hate,5
2074,today,5
2000,teach,5
2097,town,5
1147,lonely,5
197,bossing,5
742,flossing,5
320,check,5
318,cheat,5
653,explain,5
805,ghost,5
1548,racks,5
430,crazy,5
765,freak,5
573,dress,5
2054,thousand,5
955,house,5
1225,mercy,5
367,clouds,5
2136,turned,5
2046,thinkin,5
1728,sguelo,5
1564,read,5
1303,neck,5
2027,text,5
1688,school,5
1153,looking,5
1738,shawty,5
1779,sign,5
1672,saucing,5
2154,understand,5
415,costing,5
1935,struggle,5
479,dead,5
1037,kept,5
1382,paid,5
142,believe,5
716,finally,5
1661,sacrifice,5
277,cared,5
1400,parties,5
269,came,5
121,bang,5
1248,miss,5
1639,roll,5
944,honest,5
2304,wrote,5
844,great,5
703,felt,5
2323,youll,5
1828,smoking,5
589,drown,5
1822,smile,5
477,dawn,5
1190,mama,5
206,boys,5
1670,sang,5
1968,swear,5
304,chain,5
1361,ones,5
1964,survive,5
678,fame,5
1799,size,5
1608,rest,5
1941,styrofoam,5
1952,sugar,5
2250,whipped,5
215,break,5
1585,relate,4
2106,trap,4
110,bags,4
590,drugs,4
1616,rich,4
2105,traitor,4
574,drink,4
2118,tried,4
599,early,4
1272,morning,4
513,diamonds,4
806,gimme,4
1582,regret,4
2271,woah,4
52,amor,4
885,happy,4
1468,pluto,4
1463,playin,4
1461,played,4
2261,wiggling,4
2266,winnin,4
529,dirt,4
922,hide,4
2278,wonder,4
28,ahahahah,4
501,deposit,4
2294,wouldnt,4
1434,picked,4
866,guys,4
2326,youve,4
2237,weeks,4
821,goes,4
2224,watch,4
2218,warm,4
571,dreams,4
1571,reason,4
916,hella,4
439,crying,4
915,h***,4
804,getting,4
2186,vibe,4
2191,vida,4
1551,rain,4
1538,quicker,4
2196,vision,4
557,double,4
2210,walk,4
815,glitter,4
2216,wanted,4
2099,track,4
619,emotional,4
195,booty,4
2053,thoughts,4
672,fake,4
1980,swimming,4
1777,siento,4
2093,touchdown,4
1989,takin,4
1012,jewelry,4
328,child,4
1743,shimmer,4
179,blood,4
175,block,4
1160,losin,4
972,imagine,4
1164,lotta,4
349,city,4
1716,sense,4
1787,singin,4
1043,k***,4
214,bread,4
693,feed,4
1895,starin,4
1897,stars,4
250,burn,4
265,calling,4
1872,spent,4
695,feelin,4
1858,southside,4
289,cash,4
1069,lalalala,4
1850,soul,4
230,broke,4
717,findin,4
228,brings,4
688,father,4
965,hurts,4
702,fell,4
136,beef,4
1701,second,4
132,beach,4
377,comin,4
947,hood,4
1242,minute,4
148,best,4
1690,screamin,4
1894,stare,4
1674,saved,4
153,bigger,4
1641,rollin,4
1205,matter,4
610,eighty,4
766,free,4
620,empastillao,3
1390,paper,3
1383,pain,3
690,fazed,3
1376,overnight,3
1070,lalalalala,3
1388,pants,3
1098,lesbian,3
1072,lame,3
1307,needs,3
1404,passin,3
592,d****,3
704,feminine,3
1092,leaves,3
611,electric,3
851,groove,3
698,feels,3
614,embarrassing,3
517,died,3
1244,mirror,3
883,happens,3
1273,mother,3
519,difference,3
872,hahahaha,3
1084,layin,3
588,drove,3
882,happened,3
1237,million,3
1365,open,3
622,endin,3
741,floss,3
1185,maldita,3
966,hypnotized,3
638,escape,3
790,game,3
771,friend,3
1229,metro,3
998,isnt,3
1009,jesus,3
1332,nota,3
744,flyin,3
1300,natty,3
901,healthy,3
555,doors,3
1235,milky,3
740,floor,3
683,fantasizin,3
666,fafarru,3
1128,liquor,3
