"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5PjdY0CKGZdEuoNab3yDmX","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","spotify:album:4bZJWQhHKJckFLJuYdvyX2","F*CK LOVE 3: OVER YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2021-07-23","https://i.scdn.co/image/ab67616d0000b2738e6551a2944764bc8e33a960","1","3","141805","https://p.scdn.co/mp3-preview/dd4d8d66b97b6edcb5358135e72620715e1449f9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","93","spotify:user:","2021-10-10T09:44:48Z"
"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","INDUSTRY BABY (feat. Jack Harlow)","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq, spotify:artist:2LIk90788K0zvyj2JJVwkJ","Lil Nas X, Jack Harlow","spotify:album:6pOiDiuDQqrmo5DbG0ZubR","MONTERO","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","2021-09-17","https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd","1","3","212352","https://p.scdn.co/mp3-preview/c1cb40d748692992bd5e476fc17ffe16f31016e3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","89","spotify:user:","2021-10-10T09:44:48Z"
"spotify:track:02MWAaffLxlfxAUY7c5dvx","Heat Waves","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:0KTj6k94XZh0c6IEMfxeWV","Dreamland (+ Bonus Levels)","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2020-08-06","https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea","1","14","238805","https://p.scdn.co/mp3-preview/807fbead013f8f87d805b26224304c79d7f19091?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","spotify:user:","2021-10-10T09:44:48Z"
"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Pepas","spotify:artist:329e4yvIujISKGKz1BZZbO","Farruko","spotify:album:0T6QxdJZwYrXPHd829SnqK","La 167","spotify:artist:329e4yvIujISKGKz1BZZbO","Farruko","2021-10-01","https://i.scdn.co/image/ab67616d0000b273f1bd89fe6542ac73b8555f73","1","3","287120","https://p.scdn.co/mp3-preview/890f6034cf93d666d0f89d5724430c6ddd276eb2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","spotify:user:","2021-10-10T09:44:48Z"
"spotify:track:6PQ88X9TkUIAUIZJHW2upE","Bad Habits","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:01NhUvviMytvV12pmJiDZH","Bad Habits","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2021-06-25","https://i.scdn.co/image/ab67616d0000b273513d821e89b19367f6eb9e62","1","1","231041","https://p.scdn.co/mp3-preview/0e537207ad0fff8c9e9011735c665d99b9b58d5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","97","spotify:user:","2021-10-10T09:44:48Z"
"spotify:track:75MNhvTCCKsST3YqqUiU9r","Shivers","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:531c37GGv5IvddCvBv3sWT","Shivers","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2021-09-13","https://i.scdn.co/image/ab67616d0000b273dfc0a273712e816ec5eab8fa","1","1","207853","https://p.scdn.co/mp3-preview/bb9f413d6876e265d09a5d2d93345c64f8ac4de8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","93","spotify:user:","2021-10-10T09:44:48Z"
"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Woman","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:1nAQbHeOWTfQzbOoFrvndW","Planet Her","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2021-06-25","https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321","1","1","172626","https://p.scdn.co/mp3-preview/5f583b2ce5aff7762b6611a85907d55349a62db1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","96","spotify:user:","2021-10-10T09:44:48Z"
"spotify:track:6zSpb8dQRaw0M1dK8PBwQz","Cold Heart - PNAU Remix","spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:6n28c9qs9hNGriNa72b26u","Elton John, Dua Lipa, PNAU","spotify:album:5D8Rdb09BkmHscEGSWAlA6","Cold Heart (PNAU Remix)","spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:6n28c9qs9hNGriNa72b26u","Elton John, Dua Lipa, PNAU","2021-08-13","https://i.scdn.co/image/ab67616d0000b2739f5cce8304c42d3a5463fd23","1","1","202735","https://p.scdn.co/mp3-preview/7c35460359462f3d40093fa8df5a7181c7c3c95d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","93","spotify:user:","2021-10-10T09:44:48Z"
"spotify:track:3FeVmId7tL5YN8B7R3imoM","My Universe","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU, spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX","Coldplay, BTS","spotify:album:39McjovZ3M6n5SFtNmWTdp","My Universe","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU, spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX","Coldplay, BTS","2021-09-24","https://i.scdn.co/image/ab67616d0000b273eda22390e79ef5e8f070b124","1","1","228000","https://p.scdn.co/mp3-preview/73bbc165dc2883cc59a0c8b46700af11eba03bc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","93","spotify:user:","2021-10-10T09:44:48Z"
"spotify:track:4gzsuuZypVbxs0Af1LSZyB","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","spotify:artist:0GM7qgcRCORpGnfcN2tCiB, spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:2QWIScpFDNxmS6ZEMIUvgm","Tainy, Bad Bunny, Julieta Venegas","spotify:album:4589OIFRZp41qbsp7TWFCx","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","spotify:artist:0GM7qgcRCORpGnfcN2tCiB, spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:2QWIScpFDNxmS6ZEMIUvgm","Tainy, Bad Bunny, Julieta Venegas","2021-10-05","https://i.scdn.co/image/ab67616d0000b273d2dcc68851d00413147d9af6","1","1","207301","https://p.scdn.co/mp3-preview/1dcdeca78007b79c6cf5ffe3785f302e11b487e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","spotify:user:","2021-10-10T09:44:48Z"
