"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2HSmyk2qMN8WQjuGhaQgCk","Champagne Poetry","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:3SpBlxme9WbeQdI9kx7KAV","Certified Lover Boy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-09-03","https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f","1","1","336511","https://p.scdn.co/mp3-preview/0a37353e91af6622f4c0bf5aba8b5f20c8a71d8a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","87","spotify:user:","2021-09-03T19:29:44Z","0.423","0.667","6","-7.012","0","0.326","0.758","0","0.246","0.496","86.743","4"
"spotify:track:0k1WUmIRnG3xU6fvvDVfRG","Way 2 Sexy (with Future & Young Thug)","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:50co4Is1HCEo8bhOyUWKpn","Drake, Future, Young Thug","spotify:album:3SpBlxme9WbeQdI9kx7KAV","Certified Lover Boy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-09-03","https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f","1","7","257604","https://p.scdn.co/mp3-preview/e4a1bbc010e934bea0f4343c68d8c5fefecd0a76?cid=9950ac751e34487dbbe027c4fd7f8e99","true","93","spotify:user:","2021-09-03T19:29:44Z","0.803","0.597","11","-6.035","0","0.141","0.000619","0.0000045","0.323","0.331","136.008","4"
"spotify:track:65OVbaJR5O1RmwOQx0875b","Wants and Needs (feat. Lil Baby)","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:5f7VJjfbwm532GiveGC0ZK","Drake, Lil Baby","spotify:album:5LuoozUhs2pl3glZeAJl89","Scary Hours 2","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-03-05","https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc","1","2","192956","https://p.scdn.co/mp3-preview/cad4f8a85d1c9acbe893c1c99f215d2b24fb8187?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","spotify:user:","2021-03-15T15:13:22Z","0.578","0.449","1","-6.349","1","0.286","0.0618","0.00000217","0.119","0.1","136.006","4"
"spotify:track:3aQem4jVGdhtg116TmJnHz","What’s Next","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:5LuoozUhs2pl3glZeAJl89","Scary Hours 2","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-03-05","https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc","1","1","178153","https://p.scdn.co/mp3-preview/09a28c35eb202832cbc0f7e9087d358b8ccb031e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","spotify:user:","2021-03-15T15:13:22Z","0.781","0.594","0","-6.959","0","0.0485","0.0136","0","0.162","0.0628","129.895","4"
"spotify:track:4s7QLoImIwmPi9L6dq1nVW","TSU","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:3SpBlxme9WbeQdI9kx7KAV","Certified Lover Boy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-09-03","https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f","1","8","308755","https://p.scdn.co/mp3-preview/03964a44ed5bd0d519c66eac4122049eb00b0aa0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","spotify:user:","2021-09-03T19:29:44Z","0.568","0.56","9","-9.059","1","0.42","0.228","0.00000305","0.39","0.246","130.019","4"
"spotify:track:4FRW5Nza1Ym91BGV4nFWXI","Lemon Pepper Freestyle (feat. Rick Ross)","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1sBkRIssrMs1AbVkOJbc7a","Drake, Rick Ross","spotify:album:5LuoozUhs2pl3glZeAJl89","Scary Hours 2","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-03-05","https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc","1","3","383036","https://p.scdn.co/mp3-preview/1417938a20d6db7496c8e3afc4fb6787a2b78a29?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","spotify:user:","2021-03-15T15:13:22Z","0.77","0.637","1","-5.53","1","0.345","0.103","0","0.171","0.431","94.966","4"
"spotify:track:42m3eP1JJhtzffal9B136J","7am On Bridle Path","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:3SpBlxme9WbeQdI9kx7KAV","Certified Lover Boy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-09-03","https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f","1","14","239635","https://p.scdn.co/mp3-preview/cb91f332a69ecac4b31c6d578b112fb848de2006?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","spotify:user:","2021-09-03T19:29:44Z","0.724","0.531","5","-4.108","0","0.298","0.225","0","0.11","0.141","89.901","4"
"spotify:track:4wVOKKEHUJxHCFFNUWDn0B","Chicago Freestyle (feat. Giveon)","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:4fxd5Ee7UefO4CUXgwJ7IP","Drake, Giveon","spotify:album:6OQ9gBfg5EXeNAEwGSs6jK","Dark Lane Demo Tapes","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2020-05-01","https://i.scdn.co/image/ab67616d0000b273bba7cfaf7c59ff0898acba1f","1","3","220487","https://p.scdn.co/mp3-preview/5dafb0d15031bcba58fef36bc30f7cfd6b31892d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","spotify:user:","2020-08-14T04:01:00Z","0.735","0.449","10","-7.507","1","0.347","0.629","0","0.113","0.0397","122.947","4"
"spotify:track:37Nqx7iavZpotJSDXZWbJ3","Girls Want Girls (with Lil Baby)","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:5f7VJjfbwm532GiveGC0ZK","Drake, Lil Baby","spotify:album:3SpBlxme9WbeQdI9kx7KAV","Certified Lover Boy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-09-03","https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f","1","3","221979","https://p.scdn.co/mp3-preview/c9674962673ba795c96a7e30ee891dc43e03be1a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","91","spotify:user:","2021-09-03T19:29:44Z","0.767","0.438","7","-8.726","0","0.29","0.181","0","0.142","0.381","86.975","4"
"spotify:track:3Kwdm0iLyEiRB8InsZoo6n","Talk To Me","spotify:artist:0p4ViyfJUTW0IT4SCBLexf, spotify:artist:3TVXtAsR1Inumwj472S9r4","Drakeo the Ruler, Drake","spotify:album:2bY51cinHBlscXIoLUsDYa","The Truth Hurts","spotify:artist:0p4ViyfJUTW0IT4SCBLexf","Drakeo the Ruler","2021-02-24","https://i.scdn.co/image/ab67616d0000b27358e70580933aa8c99b653a3c","1","16","227705","https://p.scdn.co/mp3-preview/50e71918e0e1600f19aaa210feade8cae666a3bd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:","2021-03-05T05:01:21Z","0.773","0.281","1","-9.781","1","0.11","0.24","0","0.112","0.465","102.019","4"
"spotify:track:61S79KIVA4I9FXbnsylEHT","In The Bible (with Lil Durk & Giveon)","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:3hcs9uc56yIGFCSy9leWe7, spotify:artist:4fxd5Ee7UefO4CUXgwJ7IP","Drake, Lil Durk, Giveon","spotify:album:3SpBlxme9WbeQdI9kx7KAV","Certified Lover Boy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-09-03","https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f","1","4","296568","https://p.scdn.co/mp3-preview/61127fc72fa993ef6b109bb186a53ed85b9c2192?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","spotify:user:","2021-09-03T19:29:44Z","0.686","0.385","7","-8.35","0","0.297","0.614","0","0.131","0.147","143.07","4"
"spotify:track:7E2C5rBLpCKwQlhJPVFBRS","You’re Mines Still (feat. Drake)","spotify:artist:3KNIG74xSTc3dj0TRy7pGX, spotify:artist:3TVXtAsR1Inumwj472S9r4","Yung Bleu, Drake","spotify:album:7MQJy9di8JoLJOkG5mZAry","You’re Mines Still (feat. Drake)","spotify:artist:3KNIG74xSTc3dj0TRy7pGX, spotify:artist:3TVXtAsR1Inumwj472S9r4","Yung Bleu, Drake","2020-10-15","https://i.scdn.co/image/ab67616d0000b273866d72ac0a4dc315fc8b3820","1","1","226220","https://p.scdn.co/mp3-preview/00f2cd8962dcf24e4440272e0bdd699daa3a4f45?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","spotify:user:","2020-12-02T19:37:45Z","0.575","0.609","5","-4.88","0","0.121","0.317","0","0.105","0.339","83.004","4"
"spotify:track:2Q3jFbyE61mCjS3SkW4toJ","Race My Mind","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:3SpBlxme9WbeQdI9kx7KAV","Certified Lover Boy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-09-03","https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f","1","15","269883","https://p.scdn.co/mp3-preview/928af7feb179f634a964cf61de9738e58229f374?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","spotify:user:","2021-09-03T19:29:44Z","0.488","0.635","10","-7.19","1","0.26","0.179","0.00000816","0.156","0.783","174.072","4"
