"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2374M0fQpWi3dLnB54qaLX","Africa","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","spotify:album:62U7xIHcID94o20Of5ea4D","Toto IV","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","1982-04-08","https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b","1","10","295893","https://p.scdn.co/mp3-preview/4551544dbf630ad584de356432e8afbd84b96914?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","spotify:user:avl7949","2021-10-15T16:00:15Z","0.671","0.373","9","-18.064","1","0.0323","0.257","0.0000801","0.0481","0.732","92.718","4"
"spotify:track:5ChkMS8OtdzJeqyybCc9R5","Billie Jean","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:1C2h7mLntPSeVYciMRTF4a","Thriller 25 Super Deluxe Edition","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","1982-11-30","https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be","1","6","293826","https://p.scdn.co/mp3-preview/f504e6b8e037771318656394f532dede4f9bcaea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","spotify:user:avl7949","2021-10-15T16:00:21Z","0.92","0.654","11","-3.051","0","0.0401","0.0236","0.0158","0.0359","0.847","117.046","4"
"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","Every Breath You Take","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","spotify:album:5W9OT0a5iZlBr83a9WMKFY","Synchronicity (Remastered 2003)","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","1983-06-17","https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e","1","7","253920","https://p.scdn.co/mp3-preview/82e1140fea37bbffdaacc552478376f7d07afe9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","spotify:user:avl7949","2021-10-15T16:00:31Z","0.82","0.452","1","-9.796","1","0.0348","0.543","0.00294","0.0714","0.74","117.401","4"
"spotify:track:1TfqLAPs4K3s2rJMoCokcS","Sweet Dreams (Are Made of This) - Remastered","spotify:artist:0NKDgy9j66h3DLnN8qu1bB, spotify:artist:5MspMQqdVbdwP6ax3GXqum, spotify:artist:7gcCQIlkkfbul5Mt0jBQkg","Eurythmics, Annie Lennox, Dave Stewart","spotify:album:5jNDWA19BJbE24x1UUJGRY","Sweet Dreams (Are Made Of This)","spotify:artist:0NKDgy9j66h3DLnN8qu1bB, spotify:artist:5MspMQqdVbdwP6ax3GXqum, spotify:artist:7gcCQIlkkfbul5Mt0jBQkg","Eurythmics, Annie Lennox, Dave Stewart","1983-01-04","https://i.scdn.co/image/ab67616d0000b273b3994c94dfb241923664bb4d","1","6","216933","https://p.scdn.co/mp3-preview/a0caa6d6ecbb1ef76c09c82897e30f7208ba2734?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:avl7949","2021-10-15T16:00:39Z","0.692","0.711","0","-7.498","0","0.0317","0.225","0","0.12","0.875","125.135","4"
"spotify:track:6dnco8haegnJYtylV26cBq","Islands In the Stream","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU, spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Dolly Parton, Kenny Rogers","spotify:album:3b3xKNoWtZLWdxuaL0sKCs","Greatest Hits","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton","1982-10-04","https://i.scdn.co/image/ab67616d0000b273a4afa2612e996d0998fb2a00","1","8","251960","https://p.scdn.co/mp3-preview/c363db838c96b609d6f2bca8646de97e62cfee19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:avl7949","2021-10-15T16:00:53Z","0.617","0.411","8","-12.075","1","0.0373","0.675","0.00000104","0.0886","0.738","203.934","4"
"spotify:track:4jDmJ51x1o9NZB5Nxxc7gY","Careless Whisper","spotify:artist:19ra5tSw0tWufvUp8GotLo","George Michael","spotify:album:3coLNlyStg9h7f8CZ103Rl","Ladies And Gentlemen... The Best Of George Michael","spotify:artist:19ra5tSw0tWufvUp8GotLo","George Michael","1998-11-09","https://i.scdn.co/image/ab67616d0000b27364c19b24ce947ffa363f8f96","1","3","300106","https://p.scdn.co/mp3-preview/75d3d091213d60d9f3ed2c0698b846177076b0d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:avl7949","2021-10-15T16:01:08Z","0.574","0.629","2","-8.815","0","0.0363","0.128","0","0.271","0.786","153.119","4"
"spotify:track:6OnfBiiSc9RGKiBKKtZXgQ","We Built This City","spotify:artist:0kObWap02DEg9EAJ3PBxzf","Starship","spotify:album:0YCraVqAWvJHiBYP2AXgV6","Knee Deep In The Hoopla","spotify:artist:0kObWap02DEg9EAJ3PBxzf","Starship","1985-09-10","https://i.scdn.co/image/ab67616d0000b273da6790936a48b6719083dcac","1","1","296080","https://p.scdn.co/mp3-preview/ec6bf626bb5d631709529d4f59a6964af6dd9e9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:avl7949","2021-10-15T16:01:50Z","0.661","0.908","5","-4.897","1","0.039","0.052","0","0.0708","0.656","144.091","4"
"spotify:track:37ZJ0p5Jm13JPevGcx4SkF","Livin' On A Prayer","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","spotify:album:0kBfgEilUFCMIQY5IOjG4t","Slippery When Wet","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","1986-08-16","https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac","1","3","249293","https://p.scdn.co/mp3-preview/b8c106f15c5e80ddf010e9942dc6682ad290b256?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","spotify:user:avl7949","2021-10-15T16:02:04Z","0.532","0.887","0","-3.757","1","0.0335","0.0778","0.000214","0.294","0.795","122.511","4"
"spotify:track:4cOdK2wGLETKBW3PvgPWqT","Never Gonna Give You Up","spotify:artist:0gxyHStUsqpMadRV0Di1Qt","Rick Astley","spotify:album:5Z9iiGl2FcIfa3BMiv6OIw","Whenever You Need Somebody","spotify:artist:0gxyHStUsqpMadRV0Di1Qt","Rick Astley","1987-11-12","https://i.scdn.co/image/ab67616d0000b2735755e164993798e0c9ef7d7a","1","1","213573","https://p.scdn.co/mp3-preview/0b6da17f858f104337fac626c4bac972d3947564?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:avl7949","2021-10-15T16:02:21Z","0.721","0.939","8","-11.823","1","0.0376","0.115","0.0000379","0.108","0.914","113.309","4"
"spotify:track:3Cx4yrFaX8CeHwBMReOWXI","We Didn't Start the Fire","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:1Vw2uoVkLAJFVViJ1QyK1D","Storm Front","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1989-10-17","https://i.scdn.co/image/ab67616d0000b2731946747b8692919f98918ec4","1","2","287733","https://p.scdn.co/mp3-preview/84365368ace21bc568ed0d9b0b18669a58963297?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:avl7949","2021-10-15T16:02:38Z","0.712","0.967","7","-5.206","1","0.047","0.0771","0","0.356","0.895","145.024","4"
